#Please wait 8[s]#Please wait 7[s]#Please wait 6[s]#Please wait 5[s]#Please wait 4[s]#Please wait 3[s]#Please wait 2[s]#Please wait 1[s]#Please wait 0[s]
#P
#   1.0000e+00     infe-308     infe-308     infe-308     infe-308     infe-308     infe-308 
#     infe-308   1.0000e+00     infe-308     infe-308     infe-308     infe-308     infe-308 
#     infe-308     infe-308   1.0000e+00     infe-308     infe-308     infe-308     infe-308 
#     infe-308     infe-308     infe-308   1.0000e+00     infe-308     infe-308     infe-308 
#     infe-308     infe-308     infe-308     infe-308   1.0000e+00     infe-308     infe-308 
#     infe-308     infe-308     infe-308     infe-308     infe-308   1.0000e+00     infe-308 
#     infe-308     infe-308     infe-308     infe-308     infe-308     infe-308   1.0000e+00 
#Q
#   1.0000e+00     infe-308     infe-308 
#     infe-308   1.0000e+00     infe-308 
#     infe-308     infe-308   1.0000e+00 
#R
#   1.0000e-04     infe-308     infe-308     infe-308     infe-308     infe-308 
#     infe-308   1.0000e-04     infe-308     infe-308     infe-308     infe-308 
#     infe-308     infe-308   1.0000e-04     infe-308     infe-308     infe-308 
#     infe-308     infe-308     infe-308   1.0000e-04     infe-308     infe-308 
#     infe-308     infe-308     infe-308     infe-308   1.0000e-04     infe-308 
#     infe-308     infe-308     infe-308     infe-308     infe-308   1.0000e-04 
    0.000,   1.00000000,   0.00000000,   0.00000000,   0.00000000,  -0.00061000,  -0.00061000,   0.00061000,     0,     0,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
    0.010,   1.00752401,   0.00857742,  -0.00977363,  -0.94950968,  -0.00061000,  -0.00061000,   0.00061000,  7526,   755,   0.20338991,   0.16869399,   9.97448158,  -0.00244346,  -0.00366519,   0.00244346,   0.17697085,   1.06860733,   0.82277739
    0.020,   0.79567194,  -0.00320745,  -0.01305232,  -0.70312488,   0.78075439,   0.50224078,  -9.53990078,  7426,  1037,   0.20937198,   0.16869399,   9.97328472,   0.00733038,   0.00000000,   0.00122173,   0.14798272,   1.08046830,   0.83686531
    0.030,   0.71749973,  -0.00399559,  -0.01625961,  -0.75260895,   0.52417278,   0.64377636,   8.46306515,  7317,  1023,   0.20817557,   0.16510476,   9.97567749,   0.00122173,   0.00122173,  -0.00244346,   0.15293230,   1.08957648,   0.81586385
    0.040,   0.85175109,  -0.00026268,  -0.01615152,  -0.60307789,   0.21437037,   0.20269477,  -2.15761185,  7268,  1021,   0.20578276,   0.16271195,   9.97807026,  -0.00366519,   0.00122173,   0.00366519,   0.19579874,   1.07369184,   0.83720219
    0.050,   0.67169446,  -0.00411457,  -0.01566986,  -0.79387033,   0.39200598,   0.36680511,   9.74878502,  7254,  1028,   0.20697917,   0.16510476,   9.97208786,   0.00122173,   0.00366519,   0.00122173,   0.16709903,   1.07729077,   0.83345455
    0.060,   0.79735333,  -0.00097642,  -0.01549030,  -0.65929163,   0.13656685,   0.07921404,  -1.51441193,  7281,  1033,   0.20578276,   0.16510476,   9.97208786,  -0.00122173,   0.00122173,   0.00000000,   0.17813395,   1.08465922,   0.84077311
    0.070,   0.73077655,  -0.00196875,  -0.01536320,  -0.72489119,   0.16427509,   0.11660452,   2.03197360,  7243,  1024,   0.20099710,   0.16749758,   9.97208786,   0.00244346,   0.00244346,   0.00000000,   0.17140575,   1.06704259,   0.82623076
    0.080,   0.77851975,  -0.00058002,  -0.01539129,  -0.67005748,   0.06339544,   0.02737091,  -1.37342238,  7204,   994,   0.20578276,   0.16749758,   9.96730232,   0.00000000,  -0.00122173,   0.00244346,   0.20723525,   1.07082260,   0.82664925
    0.090,   0.75185615,  -0.00096286,  -0.01549211,  -0.69588107,   0.06182605,   0.03949074,  -0.22754347,  7264,  1033,   0.20817557,   0.16390836,   9.97328472,   0.00000000,   0.00000000,   0.00244346,   0.18021160,   1.07603252,   0.81056952
